title,journal,year,citation,citation_per_year,author,URL
The Bayesian brain: the role of uncertainty in neural coding and computation,TRENDS in Neurosciences,2004,2082,115,"['DC Knill', 'A Pouget']",https://www.psy.gla.ac.uk/~martinl/Assets/MCMPS/KnillPouget04.pdf
The history of the future of the Bayesian brain,NeuroImage,2012,234,23,['K Friston'],https://www.sciencedirect.com/science/article/pii/S1053811911011657
The cybernetic Bayesian brain,NA,2014,315,39,['AK Seth'],https://open-mind.net/papers/the-cybernetic-bayesian-brain/at_download/paperPDF
Bayesian decoding of brain images,Neuroimage,2008,215,15,"['K Friston', 'C Chu', 'J Mourão-Miranda', 'O Hulme', 'G Rees']",https://www.fil.ion.ucl.ac.uk/~wpenny/publications/friston_decoding_07.pdf
"Bayesian models: the structure of the world, uncertainty, behavior, and the brain",Annals of the New York Academy of Sciences,2011,229,20,"['I Vilares', 'K Kording']",https://www.ncbi.nlm.nih.gov/pmc/articles/pmc3079291/
Bayesian statistics: relevant for the brain?,Current opinion in neurobiology,2014,50,6,['KP Kording'],https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3981868/
A Bayesian approach to determining connectivity of the human brain,Human brain mapping,2006,158,9,"['RS Patel', 'FDB Bowman', 'JK Rilling']",https://onlinelibrary.wiley.com/doi/pdf/10.1002/hbm.20182
Bayes in the brain—on Bayesian modelling in neuroscience,The British journal for the philosophy of …,2012,132,13,"['M Colombo', 'P Seriès']",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.1083.9188&rep=rep1&type=pdf
Bayesian reconstruction of natural images from human brain activity,Neuron,2009,500,38,"['T Naselaris', 'RJ Prenger', 'KN Kay', 'M Oliver', 'JL Gallant']",https://www.sciencedirect.com/science/article/pii/S0896627309006850
"Symptom perception, placebo effects, and the Bayesian brain",Pain,2019,74,24,"['G Ongaro', 'TJ Kaptchuk']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6319577/
Bayesian action&perception: Representing the world in the brain,Frontiers in neuroscience,2014,27,3,"['GE Loeb', 'JA Fishel']",https://www.frontiersin.org/articles/10.3389/fnins.2014.00341/full
With or without you: predictive coding and Bayesian inference in the brain,Current opinion in neurobiology,2017,119,23,"['L Aitchison', 'M Lengyel']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5836998/
Bayesian models of brain and behaviour,International Scholarly Research Notices,2012,35,3,['W Penny'],http://downloads.hindawi.com/archive/2012/785791.pdf
An accurate and efficient Bayesian method for automatic segmentation of brain MRI,IEEE transactions on …,2002,330,16,"['JL Marroquín', 'BC Vemuri', 'S Botello']",https://link.springer.com/content/pdf/10.1007/3-540-47979-1_38.pdf
The Bayesian brain: phantom percepts resolve sensory uncertainty,Neuroscience & Biobehavioral …,2014,151,18,"['D De Ridder', 'S Vanneste', 'W Freeman']",http://lab-clint.org/Published/92.pdf
A Bayesian model of category-specific emotional brain responses,PLoS Comput …,2015,176,25,"['TD Wager', 'J Kang', 'TD Johnson', 'TE Nichols']",https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1004066
A Bayesian model of shape and appearance for subcortical brain segmentation,Neuroimage,2011,1808,164,"['B Patenaude', 'SM Smith', 'DN Kennedy', 'M Jenkinson']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3417233/
Learning effective brain connectivity with dynamic Bayesian networks,Neuroimage,2007,157,10,"['JC Rajapakse', 'J Zhou']",http://cs.ru.nl/~peterl/BN/RajapakseZhou2007.pdf
Efficient multilevel brain tumor segmentation with integrated bayesian model classification,IEEE transactions on …,2008,467,33,"['JJ Corso', 'E Sharon', 'S Dube', 'S El-Saden']",https://escholarship.org/content/qt0gv683h5/qt0gv683h5.pdf
Bayesian inference and testing of group differences in brain networks,Bayesian Analysis,2018,81,20,"['D Durante', 'DB Dunson']",https://projecteuclid.org/download/pdfview_1/euclid.ba/1479179031
