title,journal,year,citation,citation_per_year,author,URL
Deep learning for brain MRI segmentation: state of the art and future directions,Journal of digital …,2017,527,105,"['Z Akkus', 'A Galimzianova', 'A Hoogi', 'DL Rubin']",https://link.springer.com/article/10.1007/s10278-017-9983-4
Classification using deep learning neural networks for brain tumors,Future Computing and …,2018,309,77,"['H Mohsen', 'ESA El-Dahshan', 'ESM El-Horbaty']",https://www.sciencedirect.com/science/article/pii/S2314728817300636
Manifold learning of brain MRIs by deep learning,… Conference on Medical …,2013,171,19,"['T Brosch', 'R Tam']",https://link.springer.com/content/pdf/10.1007/978-3-642-40763-5_78.pdf
Deep learning based imaging data completion for improved brain disease diagnosis,… Conference on Medical …,2014,347,43,"['R Li', 'W Zhang', 'HI Suk', 'L Wang', 'J Li', 'D Shen']",https://link.springer.com/content/pdf/10.1007/978-3-319-10443-0_39.pdf
Hough-CNN: deep learning for segmentation of deep brain regions in MRI and ultrasound,Computer Vision and …,2017,265,53,"['F Milletari', 'SA Ahmadi', 'C Kroll', 'A Plate']",https://arxiv.org/pdf/1601.07014
A deep learning model integrating FCNNs and CRFs for brain tumor segmentation,Medical image analysis,2018,342,85,"['X Zhao', 'Y Wu', 'G Song', 'Z Li', 'Y Zhang', 'Y Fan']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6029627/
Predicting brain age with deep learning from raw imaging data results in a reliable and heritable biomarker,NeuroImage,2017,329,65,"['JH Cole', 'RPK Poudel', 'D Tsagkrasoulis', 'MWA Caan']",https://arxiv.org/pdf/1612.02572
A review on a deep learning perspective in brain cancer classification,Cancers,2019,86,28,"['GS Tandel', 'M Biswas', 'OG Kakde', 'A Tiwari', 'HS Suri']",https://www.mdpi.com/2072-6694/11/1/111/pdf
Review of MRI-based brain tumor image segmentation using deep learning methods,Procedia Computer Science,2016,321,53,"['A Işın', 'C Direkoğlu', 'M Şah']",https://www.sciencedirect.com/science/article/pii/S187705091632587X/pdf?md5=a5500d131fd3f10bdfb3dbb67b4c8797&pid=1-s2.0-S187705091632587X-main.pdf
Brain differences between men and women: Evidence from deep learning,Frontiers in neuroscience,2019,36,12,"['J Xin', 'Y Zhang', 'Y Tang', 'Y Yang']",https://www.frontiersin.org/articles/10.3389/fnins.2019.00185/full?report=reader
Different scaling of linear models and deep learning in UKBiobank brain images versus machine-learning datasets,Nature …,2020,26,13,"['MA Schulz', 'BTT Yeo', 'JT Vogelstein']",https://www.nature.com/articles/s41467-020-18037-z
Deep learning-based classification for brain-computer interfaces,"… on Systems, Man …",2017,51,10,"['J Thomas', 'T Maszczyk', 'N Sinha']",https://www.researchgate.net/profile/Nishant_Sinha9/publication/321411579_Deep_learning-based_classification_for_brain-computer_interfaces/links/5af07cba458515c2837144eb/Deep-learning-based-classification-for-brain-computer-interfaces.pdf
Classification of CT brain images based on deep learning networks,Computer methods and programs in biomedicine,2017,185,37,"['XW Gao', 'R Hui', 'Z Tian']",https://eprints.mdx.ac.uk/20744/1/CT-classification-v2.pdf
Developing a brain atlas through deep learning,Nature Machine Intelligence,2019,22,7,"['A Iqbal', 'R Khan', 'T Karayannis']",https://arxiv.org/pdf/1807.03440
Predicting sex from brain rhythms with deep learning,Scientific reports,2018,60,15,"['MJAM Van Putten', 'S Olbrich', 'M Arns']",https://www.nature.com/articles/s41598-018-21495-7
A Deep Learning Model to Predict a Diagnosis of Alzheimer Disease by                    Using 18F-FDG PET of the Brain,Radiology,2019,230,76,"['Y Ding', 'JH Sohn', 'MG Kawczynski', 'H Trivedi', 'R Harnish']",https://pubs.rsna.org/doi/pdf/10.1148/radiol.2018180958
A biologically plausible learning rule for deep learning in the brain,arXiv preprint arXiv:1811.01768,2018,14,3,"['I Pozzi', 'S Bohté', 'P Roelfsema']",https://arxiv.org/pdf/1811.01768
