title,journal,year,citation,citation_per_year,author,URL
Prediction of stroke thrombolysis outcome using CT brain machine learning,NeuroImage: Clinical,2014,103,12,"['P Bentley', 'J Ganesalingam', 'ALC Jones', 'K Mahady']",https://www.sciencedirect.com/science/article/pii/S2213158214000217
Machine learning techniques for brain-computer interfaces,Biomed. Tech,2004,253,14,"['KR Müller', 'M Krauledat', 'G Dornhege', 'G Curio']",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.69.3062&rep=rep1&type=pdf
Introduction to machine learning for brain imaging,Neuroimage,2011,627,57,"['S Lemm', 'B Blankertz', 'T Dickhaus', 'KR Müller']",http://pages.erau.edu/~andrewsa/sci_fi_projects_spring_2019/Project_2/Chin_Matthew/Chin_Project2_HU338/Lemm.pdf
Classifying spatial patterns of brain activity with machine learning methods: application to lie detection,Neuroimage,2005,534,31,"['C Davatzikos', 'K Ruparel', 'Y Fan', 'DG Shen', 'M Acharyya']",https://repository.upenn.edu/cgi/viewcontent.cgi?article=1011&context=neuroethics_pubs
Using human brain activity to guide machine learning,Scientific reports,2018,50,12,"['RC Fong', 'WJ Scheirer', 'DD Cox']",https://www.nature.com/articles/s41598-018-23618-6
Classification of brain tumor type and grade using MRI texture and shape in a machine learning scheme,… in Medicine: An …,2009,624,48,"['EI Zacharaki', 'S Wang', 'S Chawla']",https://onlinelibrary.wiley.com/doi/pdf/10.1002/mrm.22147
Machine learning for real-time single-trial EEG-analysis: from brain–computer interfacing to mental state monitoring,Journal of neuroscience …,2008,493,35,"['KR Müller', 'M Tangermann', 'G Dornhege']",ftp://www.cs.uoregon.edu/pub/malony/EGI/1-s2.0-S0165027007004657-main.pdf
Machine-learning-based coadaptive calibration for brain-computer interfaces,Neural computation,2011,202,18,"['C Vidaurre', 'C Sannelli', 'KR Müller', 'B Blankertz']",https://www.mitpressjournals.org/doi/full/10.1162/NECO_a_00089
Registration and machine learning-based automated segmentation of subcortical and cerebellar brain structures,Neuroimage,2008,197,14,"['S Powell', 'VA Magnotta', 'H Johnson']",https://www.ncbi.nlm.nih.gov/pmc/articles/pmc2253948/
"Machine learning, machine vision, and the brain",AI Magazine,1999,96,4,"['T Poggio', 'CR Shelton']",https://ojs.aaai.org/index.php/aimagazine/article/download/1465/1364/
Different scaling of linear models and deep learning in UKBiobank brain images versus machine-learning datasets,Nature …,2020,26,13,"['MA Schulz', 'BTT Yeo', 'JT Vogelstein']",https://www.nature.com/articles/s41467-020-18037-z
Machine learning analysis of whole mouse brain vasculature,Nature …,2020,48,24,"['MI Todorov', 'JC Paetzold', 'O Schoppe', 'G Tetteh', 'S Shit']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7591801/
Automated brain histology classification using machine learning,Journal of Clinical Neuroscience,2019,49,16,"['J Ker', 'Y Bai', 'HY Lee', 'J Rao', 'L Wang']",https://www.researchgate.net/profile/Lipo_Wang3/publication/333514712_Automated_brain_histology_classification_using_machine_learning/links/5f3e39b2a6fdcccc43d7c75a/Automated-brain-histology-classification-using-machine-learning.pdf
Prediction of brain maturity in infants using machine-learning algorithms,NeuroImage,2016,88,14,"['CD Smyser', 'NUF Dosenbach', 'TA Smyser', 'AZ Snyder']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4914443/
The Berlin Brain-Computer Interface: Machine Learning Based Detection of User Specific Brain States.,J. UCS,2006,159,9,"['B Blankertz', 'G Dornhege', 'S Lemm', 'M Krauledat']",https://pdfs.semanticscholar.org/5d77/8b0e1ec9dfc38717151ca1762d26980f1f63.pdf
A data analysis competition to evaluate machine learning algorithms for use in brain-computer interfaces,IEEE Transactions on …,2003,140,7,"['P Sajda', 'A Gerson', 'KR Muller']",https://www.academia.edu/download/46132401/sajdaTNSRE03.pdf
Machine learning with brain graphs: predictive modeling approaches for functional imaging in systems neuroscience,IEEE Signal …,2013,159,17,"['J Richiardi', 'S Achard', 'H Bunke']",https://archive-ouverte.unige.ch/unige:33936/ATTACHMENT01
Brain imaging genomics: integrated analysis and machine learning,Proceedings of the IEEE,2019,21,7,"['L Shen', 'PM Thompson']",https://ieeexplore.ieee.org/iel7/5/4357935/08886705.pdf
"Identifying the best machine learning algorithms for brain tumor segmentation, progression assessment, and overall survival prediction in the BRATS challenge",arXiv preprint arXiv …,2018,537,134,"['S Bakas', 'M Reyes', 'A Jakab', 'S Bauer']",https://arxiv.org/pdf/1811.02629
Brain tumor detection based on machine learning algorithms,International Journal of Computer …,2014,59,7,"['K Sharma', 'A Kaur', 'S Gujral']",http://iriset.org/images/extraimages/Paper%20ID%201411003B%20.pdf
